Removed Pin From Net: NetName=NetR52_2 Pin=U1-1
Removed Pin From Net: NetName=NetEXTRA1_2 Pin=U1-10
Removed Pin From Net: NetName=NetEXTRA1_1 Pin=U1-11
Removed Pin From Net: NetName=NetR29_2 Pin=U1-18
Removed Pin From Net: NetName=NetR51_2 Pin=U1-19
Removed Pin From Net: NetName=NetR53_2 Pin=U1-20
Removed Pin From Net: NetName=OSC_IN Pin=U1-23
Removed Pin From Net: NetName=OSC_OUT Pin=U1-24
Removed Pin From Net: NetName=NetC25_2 Pin=U1-25
Removed Pin From Net: NetName=NetR23_2 Pin=U1-34
Removed Pin From Net: NetName=NetR19_2 Pin=U1-35
Removed Pin From Net: NetName=NetEXTRA1_5 Pin=U1-36
Removed Pin From Net: NetName=NetEXTRA1_4 Pin=U1-37
Removed Pin From Net: NetName=NetR46_2 Pin=U1-40
Removed Pin From Net: NetName=NetQ3_1 Pin=U1-46
Removed Pin From Net: NetName=NetR28_2 Pin=U1-57
Removed Pin From Net: NetName=NetR25_2 Pin=U1-58
Removed Pin From Net: NetName=NetR33_2 Pin=U1-59
Removed Pin From Net: NetName=NetR13_1 Pin=U1-60
Removed Pin From Net: NetName=NetR12_1 Pin=U1-63
Removed Pin From Net: NetName=NetR11_1 Pin=U1-64
Removed Pin From Net: NetName=NetR10_1 Pin=U1-65
Removed Pin From Net: NetName=NetR9_1 Pin=U1-66
Removed Pin From Net: NetName=NetR8_1 Pin=U1-67
Removed Pin From Net: NetName=NetR7_1 Pin=U1-68
Removed Pin From Net: NetName=NetR6_1 Pin=U1-69
Removed Pin From Net: NetName=NetR20_2 Pin=U1-73
Removed Pin From Net: NetName=NetR24_2 Pin=U1-74
Removed Pin From Net: NetName=NetR26_2 Pin=U1-75
Removed Pin From Net: NetName=NetR54_2 Pin=U1-86
Removed Pin From Net: NetName=NetR27_2 Pin=U1-98
Removed Pin From Net: NetName=USB1_D_N Pin=U1-103
Removed Pin From Net: NetName=USB1_D_P Pin=U1-104
Removed Pin From Net: NetName=NetPROG1_3 Pin=U1-105
Removed Pin From Net: NetName=NetPROG1_2 Pin=U1-109
Removed Pin From Net: NetName=I2C_SCL-1 Pin=U1-136
Removed Pin From Net: NetName=I2C_SDA-1 Pin=U1-137
Removed Pin From Net: NetName=NetR1_1 Pin=U1-138
Removed Pin From Net: NetName=NetR30_2 Pin=U1-141
Change Component Description : Designator=J1 Old Description=3,81 mm SOCKET PRINTED CIRCUIT TERMINAL – MALE 90° New Description=3,81 mm SOCKET PRINTED CIRCUIT TERMINAL – MALE 90°
Change Component Description : Designator=J2 Old Description=3,81 mm SOCKET PRINTED CIRCUIT TERMINAL – MALE 90° New Description=3,81 mm SOCKET PRINTED CIRCUIT TERMINAL – MALE 90°
Change Component Description : Designator=J3 Old Description=3,81 mm SOCKET PRINTED CIRCUIT TERMINAL – MALE 90° New Description=3,81 mm SOCKET PRINTED CIRCUIT TERMINAL – MALE 90°
Change Component Description : Designator=J4 Old Description=3,81 mm SOCKET PRINTED CIRCUIT TERMINAL – MALE 90° New Description=3,81 mm SOCKET PRINTED CIRCUIT TERMINAL – MALE 90°
Change Component Description : Designator=J5 Old Description=5,08mm Soketli Klemens Erkek 90° Kapali - 2 Pim New Description=5,08mm Soketli Klemens Erkek 90° Kapalý - 2 Pim
Change Component Description : Designator=J6 Old Description=5,08mm Soketli Klemens Erkek 90° Kapali - 2 Pim New Description=5,08mm Soketli Klemens Erkek 90° Kapalý - 2 Pim
Change Component Description : Designator=J7 Old Description=5,08mm Soketli Klemens Erkek 90° Kapali - 2 Pim New Description=5,08mm Soketli Klemens Erkek 90° Kapalý - 2 Pim
Change Component Description : Designator=J8 Old Description=5,08mm Soketli Klemens Erkek 90° Kapali - 2 Pim New Description=5,08mm Soketli Klemens Erkek 90° Kapalý - 2 Pim
Change component parameters: Designator = "SW1"; Footprint = "218-8LPST"; UniqueID = "\WSSXFLLN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "CST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "218-8LPST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "218-8LPST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "POP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "SPST-8POS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters: Designator = "U3"; Footprint = "8-SOIC(0.154", 3.90mm Width)"; UniqueID = "\NEBNBOXC"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "8-SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "M24256E-FMN6TP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "POP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "256Kbit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "1.6V ~ 5.5V"; VariantName = "[No Variations]"
Change component parameters: Designator = "U4"; Footprint = "8-SOIC(0.154", 3.90mm Width)"; UniqueID = "\ONPWBWEW"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "MaxLinear, Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "8-SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SP3082EEN-L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "POP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "256nodes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "4.5V ~ 5.5V"; VariantName = "[No Variations]"
Change component parameters: Designator = "U5"; Footprint = "8-SOIC(0.154", 3.90mm Width)"; UniqueID = "\YEEISQEO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "MaxLinear, Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "8-SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SP3082EEN-L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "POP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "256nodes"; VariantName = "[No Variations]"
