Removed Pin From Net: NetName=NetR168_2 Pin=U5-19
Removed Pin From Net: NetName=NetJ9_5 Pin=U5-44
Change Component Footprint: Designator=J_EXTRA Old Footprint=1.25_ST_5POS_THT New Footprint=CONN07_533980771_MOL
Change Component Description : Designator=X1 Old Description=16 MHz ±10ppm Crystal 9pF 40 Ohms 4-SMD, No Lead New Description= 16 MHz ±10ppm Crystal 9pF 40 Ohms 4-SMD, No Lead
Change Component Description : Designator=R150 Old Description=Inrush Current Limiter 5 Ohms ±20% 3 A New Description=Inrush Current Limiter 5 Ohms ±20% 3 A 
Change component parameters: Designator = "DEVICE_ID"; Footprint = "218-8LPST"; UniqueID = "\WSSXFLLN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "CST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "218-8LPST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "218-8LPST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "POP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "SPST-8POS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters: Designator = "LED1"; Footprint = "RGB_IN-PI22TAT5R5G5B"; UniqueID = "\MXUGYMDA"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Inolux"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "IN-PI22TAT5R5G5B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "IN-PI22TAT5R5G5B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "N/A"; VariantName = "[No Variations]"
