Net Status Report
Filename     : C:\Users\Abdurrahman\Desktop\DONANIM-faz2\MAINBOARD(FAZ2)\MAINBOARD_PCB.PcbDoc
Date         : 28.03.2025
Time         : 20:50:56
Time Elapsed : 00:00:00

Nets, Layer, Length
    12V0_PWIN, Signal Layers Only, 0mm
    3V3_INT, Signal Layers Only, 93.6859mm
    5V0_INT, Signal Layers Only, 159.7571mm
    GND, Signal Layers Only, 30.6036mm
    I2C_SCL-1, Signal Layers Only, 136.7566mm
    I2C_SCL-2, Signal Layers Only, 60.8036mm
    I2C_SCL-3, Signal Layers Only, 136.6631mm
    I2C_SCL-4, Signal Layers Only, 369.3884mm
    I2C_SDA-1, Signal Layers Only, 134.8905mm
    I2C_SDA-2, Signal Layers Only, 61.3847mm
    I2C_SDA-3, Signal Layers Only, 132.2679mm
    I2C_SDA-4, Signal Layers Only, 343.0835mm
    NetC29_2, Signal Layers Only, 337.4566mm
    NetC34_1, Signal Layers Only, 0mm
    NetC34_2, Signal Layers Only, 1.8815mm
    NetC35_2, Signal Layers Only, 0mm
    NetC36_2, Signal Layers Only, 0mm
    NetD4_A, Signal Layers Only, 1.4361mm
    NetD5_A, Signal Layers Only, 2.0889mm
    NetD6_A, Signal Layers Only, 1.8457mm
    NetDEVICE_ID_1, Signal Layers Only, 424.1421mm
    NetDEVICE_ID_2, Signal Layers Only, 457.6427mm
    NetDEVICE_ID_3, Signal Layers Only, 417.258mm
    NetDEVICE_ID_4, Signal Layers Only, 458.8805mm
    NetDEVICE_ID_5, Signal Layers Only, 454.4581mm
    NetDEVICE_ID_6, Signal Layers Only, 728.1981mm
    NetDEVICE_ID_7, Signal Layers Only, 401.5202mm
    NetDEVICE_ID_8, Signal Layers Only, 281.9693mm
    NetJ10_1, Signal Layers Only, 3.1033mm
    NetJ10_3, Signal Layers Only, 16.266mm
    NetJ10_4, Signal Layers Only, 2.9222mm
    NetJ10_5, Signal Layers Only, 65.1666mm
    NetJ10_6, Signal Layers Only, 2.9222mm
    NetJ11_1, Signal Layers Only, 32.2167mm
    NetJ11_3, Signal Layers Only, 17.2105mm
    NetJ11_4, Signal Layers Only, 11.2251mm
    NetJ11_5, Signal Layers Only, 18.4545mm
    NetJ11_6, Signal Layers Only, 9.7434mm
    NetJ12_1, Signal Layers Only, 27.7511mm
    NetJ12_3, Signal Layers Only, 29.6758mm
    NetJ12_4, Signal Layers Only, 17.0775mm
    NetJ12_5, Signal Layers Only, 40.7976mm
    NetJ12_6, Signal Layers Only, 26.355mm
    NetJ13_1, Signal Layers Only, 4.6065mm
    NetJ13_3, Signal Layers Only, 45.6829mm
    NetJ13_4, Signal Layers Only, 4.2931mm
    NetJ13_5, Signal Layers Only, 45.7787mm
    NetJ13_6, Signal Layers Only, 4.0635mm
    NetJ14_1, Signal Layers Only, 20.1473mm
    NetJ14_3, Signal Layers Only, 66.2508mm
    NetJ14_4, Signal Layers Only, 16.684mm
    NetJ14_5, Signal Layers Only, 57.5676mm
    NetJ14_6, Signal Layers Only, 13.9755mm
    NetJ15_1, Signal Layers Only, 14.6704mm
    NetJ15_3, Signal Layers Only, 97.1777mm
    NetJ15_4, Signal Layers Only, 49.0448mm
    NetJ15_5, Signal Layers Only, 69.7928mm
    NetJ15_6, Signal Layers Only, 47.3127mm
    NetJ16_1, Signal Layers Only, 3.0722mm
    NetJ16_3, Signal Layers Only, 79.3533mm
    NetJ16_4, Signal Layers Only, 4.3323mm
    NetJ16_5, Signal Layers Only, 81.2225mm
    NetJ16_6, Signal Layers Only, 4.3323mm
    NetJ17_1, Signal Layers Only, 4.6647mm
    NetJ17_3, Signal Layers Only, 100.3317mm
    NetJ17_4, Signal Layers Only, 4.3323mm
    NetJ17_5, Signal Layers Only, 101.5821mm
    NetJ17_6, Signal Layers Only, 4.3323mm
    NetJ18_1, Signal Layers Only, 4.2274mm
    NetJ18_3, Signal Layers Only, 112.7467mm
    NetJ18_4, Signal Layers Only, 4.3323mm
    NetJ18_5, Signal Layers Only, 136.2426mm
    NetJ18_6, Signal Layers Only, 4.3323mm
    NetJ19_1, Signal Layers Only, 4.6249mm
    NetJ19_3, Signal Layers Only, 134.5466mm
    NetJ19_4, Signal Layers Only, 4.3323mm
    NetJ19_5, Signal Layers Only, 133.5939mm
    NetJ19_6, Signal Layers Only, 4.364mm
    NetJ1_1, Signal Layers Only, 4.6323mm
    NetJ1_3, Signal Layers Only, 191.5864mm
    NetJ1_4, Signal Layers Only, 4.3323mm
    NetJ1_5, Signal Layers Only, 219.1144mm
    NetJ1_6, Signal Layers Only, 2.9222mm
    NetJ20_1, Signal Layers Only, 4.6323mm
    NetJ20_3, Signal Layers Only, 169.3032mm
    NetJ20_4, Signal Layers Only, 4.5319mm
    NetJ20_5, Signal Layers Only, 166.5626mm
    NetJ20_6, Signal Layers Only, 4.3323mm
    NetJ21_1, Signal Layers Only, 3.0472mm
    NetJ21_3, Signal Layers Only, 174.0469mm
    NetJ21_4, Signal Layers Only, 4.3323mm
    NetJ21_5, Signal Layers Only, 177.4759mm
    NetJ21_6, Signal Layers Only, 4.4822mm
    NetJ22_1, Signal Layers Only, 3.0722mm
    NetJ22_3, Signal Layers Only, 192.2015mm
    NetJ22_4, Signal Layers Only, 4.4823mm
    NetJ22_5, Signal Layers Only, 189.3525mm
    NetJ22_6, Signal Layers Only, 4.4823mm
    NetJ23_1, Signal Layers Only, 4.8099mm
    NetJ23_3, Signal Layers Only, 203.593mm
    NetJ23_4, Signal Layers Only, 4.3323mm
    NetJ23_5, Signal Layers Only, 207.8373mm
    NetJ23_6, Signal Layers Only, 4.3323mm
    NetJ24_1, Signal Layers Only, 4.4128mm
    NetJ24_3, Signal Layers Only, 228.8738mm
    NetJ24_4, Signal Layers Only, 4.3323mm
    NetJ24_5, Signal Layers Only, 225.6756mm
    NetJ24_6, Signal Layers Only, 4.4822mm
    NetJ25_1, Signal Layers Only, 2.5461mm
    NetJ25_3, Signal Layers Only, 243.6098mm
    NetJ25_4, Signal Layers Only, 4.3323mm
    NetJ25_5, Signal Layers Only, 247.9105mm
    NetJ25_6, Signal Layers Only, 4.503mm
    NetJ26_1, Signal Layers Only, 4.2405mm
    NetJ26_3, Signal Layers Only, 272.5428mm
    NetJ26_4, Signal Layers Only, 4.3323mm
    NetJ26_5, Signal Layers Only, 275.7445mm
